,id,ra,dec,extendedness,cmodel_mag
276,4407710212864,3.5339716361611084,-0.532852946939595,1.0,23.169959538066514
277,4407710214016,3.5369250324082637,-0.5323626072335587,1.0,24.0178476907224
278,5508295557376,3.5305948102629805,-0.5294515153966566,1.0,23.068460328093607
279,5508295557504,3.525816638220727,-0.5294017441005671,1.0,23.67541537927041
280,5508295559296,3.5265990120293402,-0.528475455836663,1.0,22.43271732907681
281,5508295562368,3.530392213049893,-0.5268338587410151,1.0,22.642182802187463
282,5508295563392,3.526230339765128,-0.526239383027057,1.0,21.5415930043889
283,5508295563648,3.5260249971632964,-0.5260832547075451,1.0,23.848097927809025
284,5508295563904,3.5266965455337402,-0.5259235177563123,1.0,23.17194755223038
285,5508295564032,3.5258117387207952,-0.5258492586733847,1.0,23.117652324405313
286,5508295582208,3.530804288592498,-0.5281932723522466,1.0,22.557628935605397
287,5508295585152,3.527676365729848,-0.5268992890908338,1.0,23.409229537021897
288,5508295585536,3.5306311632723846,-0.5263367103033747,1.0,21.92777703405148
289,5508295586048,3.527771939887025,-0.5264808836163114,1.0,22.60252631112161
290,5508295586560,3.527790106861278,-0.5262470600405735,1.0,22.97786837876469
291,5508295587584,3.5271559659000182,-0.5257356634139281,1.0,23.21101300133916
292,5508295590144,3.5273804480851036,-0.5244472597680525,1.0,24.135332357649887
293,5509369305856,3.5271811320156754,-0.5235117390267368,1.0,23.528949483750882
294,5498631881216,3.525748028948416,-0.5743415320422771,1.0,23.07814433523857
295,5498631883648,3.5281974323968726,-0.571619962164452,1.0,23.65072825839482
296,5498631898112,3.5311701893317284,-0.5711522793680945,1.0,23.813675847704275
297,5498631899136,3.5265300135739417,-0.5707091773105973,1.0,20.755396840140552
298,5499705622784,3.5274119859368223,-0.5702011209938163,1.0,22.91682782276662
299,5499705628672,3.528248574621248,-0.5660525659773318,1.0,24.204135975635275
300,5499705637120,3.526214809616771,-0.5692905802874018,1.0,21.431720110523035
301,5499705637376,3.5271210475118435,-0.5700537710576989,1.0,22.404111690709104
302,5499705639040,3.5309492527005104,-0.569486722484064,1.0,24.10095156570518
303,5499705639168,3.5298583471754315,-0.5696839909362151,1.0,21.979814678816286
304,5499705640704,3.5276232512674803,-0.5691617694593835,1.0,23.43304460362253
305,5499705642112,3.5276314935693427,-0.568409596168654,1.0,18.712190012503708
306,5499705642496,3.5303701703120716,-0.5668048622506258,1.0,23.01738552724421
307,5499705643904,3.527282864557911,-0.5671107900064454,1.0,21.51923647264374
308,5499705646848,3.5283570522773644,-0.5668470400323813,1.0,23.367716760887713
309,5499705646976,3.528517145532017,-0.5666148418237249,1.0,21.95271187926967
310,5499705648256,3.5262311505279382,-0.5656910093313666,1.0,23.149650422783033
311,5500779370752,3.529306695399861,-0.562679479112123,1.0,23.583747846793862
312,5500779376640,3.526419495075662,-0.5604442066609926,1.0,21.72812730579759
313,5500779385600,3.5256762226256924,-0.5647499755169406,1.0,23.591031352454237
314,5500779387008,3.5288477340494913,-0.5647071886148642,1.0,22.62530828924703
315,5500779391104,3.529352479780397,-0.5636327599098373,1.0,21.248724345872848
316,5500779392640,3.529282917272257,-0.5630494451033228,1.0,23.69741797824649
317,5500779397120,3.5306314877126836,-0.5621653122867334,1.0,22.935088151132774
318,5500779397632,3.52687518314015,-0.561513738153432,1.0,22.325445116583523
319,5500779398144,3.5313581677683525,-0.5620235448328474,1.0,24.557288043864066
320,5500779401984,3.5278298387027656,-0.5609533045371348,1.0,22.649503531246715
321,5500779403008,3.525885865951225,-0.5610439149594929,1.0,22.698974844108342
322,5500779403136,3.5260926141471662,-0.5608980060458467,1.0,21.189884934567836
323,5501853111680,3.5288297462026215,-0.557915323946558,1.0,24.26514555048174
324,5501853130240,3.525853700307741,-0.5585109391428532,1.0,24.60008811353054
325,5501853133568,3.5301776607087367,-0.5576536467051683,1.0,24.62867156869021
326,5501853142912,3.531216630059222,-0.5554076570745383,1.0,24.62954190716658
327,5501853143424,3.525551963855397,-0.5550740311282218,1.0,24.983993682378483
328,5501853143936,3.5280407352029224,-0.5552838535914095,1.0,21.408174515800546
329,5502926856448,3.527471839554232,-0.5503410192147161,1.0,21.401321460064725
330,5504000620928,3.5308377131748765,-0.5454625264360109,1.0,20.08707955859205
331,5504000622336,3.5303316845318093,-0.5452034204613363,1.0,23.937072736380163
332,5505074348160,3.5272864528860763,-0.544710368552178,1.0,22.742090888545555
333,5505074350592,3.529792081692944,-0.5434186093658346,1.0,22.317320463454582
334,5505074351488,3.52934515598155,-0.544178826753342,1.0,23.77670443613541
335,5505074358912,3.5290439728054275,-0.5405562038886554,1.0,24.333538548155627
336,5505074363264,3.529233018180588,-0.5400383851829227,1.0,21.63010518010944
337,5506148079744,3.5313467078483174,-0.5369633779625081,1.0,24.00748251209214
338,5506148092672,3.528813187370924,-0.5395517436442576,1.0,24.011351301050578
339,5506148098304,3.5259289469424013,-0.5384751456826559,1.0,23.684921469556
340,5506148102144,3.528491170275533,-0.5361498361331293,1.0,22.740616750966367
341,5506148109824,3.5306639302909306,-0.5358310128189071,1.0,22.85333123441333
342,5507221815808,3.5310729966551673,-0.5344376266784473,1.0,23.398976414939806
343,5507221816448,3.5293607344380407,-0.5340825181801709,1.0,22.303888135552654
344,5507221816960,3.5281524960368436,-0.533852209800598,1.0,22.591180425555063
345,5507221819392,3.526723687346182,-0.5326127252620263,1.0,22.129919135990058
346,5507221821696,3.527522071201133,-0.5313708725653151,1.0,23.89237674376001
347,5507221840128,3.5255229911842703,-0.5328318864696409,1.0,24.051277280903136
348,5507221843840,3.5306720891527434,-0.5309347650208611,1.0,23.19519108229757
349,6607807189248,3.5213665398831187,-0.5271135038600057,1.0,21.10572052405096
350,6607807190400,3.5219893731116945,-0.5264727778782314,1.0,22.060969035184648
351,6607807192192,3.5247085902259427,-0.5253961082498197,1.0,22.75969528468437
352,6607807205888,3.524095229200827,-0.529311973177219,1.0,25.15141314408847
353,6607807209344,3.5245509992069777,-0.5277517107984686,1.0,22.728016825748703
354,6607807212544,3.522012275970989,-0.5258115079182993,1.0,21.229103705252776
355,6607807213952,3.5244222820345295,-0.5253232210307798,1.0,24.63736732484669
356,6607807214720,3.5230271793046133,-0.5248950757909191,1.0,22.988014472129183
357,6607807215104,3.5204847305627527,-0.5247252918029178,1.0,22.753499833065792
