,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
0,4.0002972826498056,0.08951549634607914,,,1.0,23.02659916574502,1.0,22.94588748239748,,,1.0,22.06863241039916
1,4.0003758382182,0.08952714450922626,,,1.0,23.752855688906887,1.0,23.238336934434827,,,1.0,22.877687501958643
2,4.000769553482943,0.08965161063945919,,,1.0,22.728347302789565,1.0,21.093357417045574,,,1.0,19.69741476510508
3,4.000574248912411,0.08968916225715078,,,1.0,24.332031274877792,1.0,24.095893705704544,,,1.0,22.952574971901267
4,4.000567608304154,0.08973956278117297,,,1.0,23.84449429331362,1.0,23.094729296330595,,,1.0,21.97772663130973
5,4.000449574305541,0.08974240912489173,,,1.0,24.17140745394836,1.0,23.55609922610277,,,1.0,23.99736993271587
6,4.000703361038427,0.08980869321115405,,,1.0,21.126765278377704,1.0,20.529828245683234,,,1.0,19.72040205443471
7,4.00086238635488,0.08978094273317203,,,1.0,22.848328536581914,1.0,22.394707690798104,,,1.0,22.0711821922049
8,4.0003721828806835,0.08978248369883446,,,1.0,22.810061545608818,1.0,22.809248988300208,,,1.0,22.54191294761755
9,4.0005466690256535,0.08978451354810192,,,1.0,23.940843043515308,1.0,23.410259432331195,,,1.0,22.362087349006067
10,4.000260694276992,0.08979212045495448,,,1.0,23.910371464460813,1.0,23.264681191340678,,,1.0,22.8345180361362
11,4.0008404883404225,0.08983769624770017,,,1.0,23.75577079337077,1.0,23.025203197051063,,,1.0,22.441262844936702
12,4.000415366233345,0.08986922973450265,,,1.0,22.942139591528615,1.0,22.129966016106216,,,1.0,21.24013959054838
13,4.000551477700386,0.08987744143977738,,,1.0,25.494092963301576,1.0,23.274564362231533,,,1.0,23.80637187729875
14,4.000501581665784,0.08988701108302732,,,1.0,23.60731321320518,1.0,23.554420673160447,,,1.0,23.791024734831694
15,4.000214242358247,0.08990151566586192,,,1.0,24.30452418981836,1.0,23.516534472708003,,,1.0,21.651599876672343
16,4.000438247351247,0.08990110732890284,,,1.0,22.059588736488365,1.0,20.57426920656836,,,1.0,19.559211938707627
17,4.000653245270038,0.08993115915468808,,,1.0,23.859149470957767,1.0,23.41741350897612,,,1.0,23.586070048594962
18,4.000920834369074,0.0899302081942371,,,1.0,22.685792220559943,1.0,22.575537889339756,,,1.0,22.192227802326446
19,4.0005126536681885,0.08995058174082438,,,1.0,23.768168172183355,1.0,23.723447663117817,,,1.0,22.470071287298417
20,4.000470914202481,0.08997970280314639,,,1.0,22.237060093649724,1.0,21.869443342207063,,,1.0,21.14872527426106
21,4.000629279478423,0.08998021997062285,,,1.0,23.488629968047693,1.0,21.961235817365917,,,1.0,20.643319407999208
22,4.000650700327467,0.09000576177135618,,,1.0,23.5178610592223,1.0,23.371287119259453,,,1.0,22.049865185717156
23,4.000606554756637,0.09002729077246188,,,1.0,23.97775876668787,1.0,23.527049134220377,,,1.0,22.60872334970773
24,4.000753877082074,0.09005214343992367,,,1.0,23.107751453249552,1.0,22.249941780358846,,,1.0,21.373575989780562
25,4.0007280720677,0.09010420254231362,,,1.0,23.16224294259105,1.0,22.826000284546716,,,1.0,21.990415381538526
26,4.000907590517272,0.09016364814914939,,,1.0,23.706629875982212,1.0,22.943650552341364,,,1.0,22.834333759893354
27,4.000679221779479,0.0901803535592644,,,1.0,23.25669072066132,1.0,23.05400669957139,,,1.0,22.289540264576992
28,4.000790530755159,0.09021205513359802,,,1.0,23.89086975593067,1.0,23.8773328208646,,,1.0,22.765885651336042
29,4.000325128841737,0.09022972218323883,,,1.0,22.411125535354937,1.0,22.077328122193688,,,1.0,21.745817513915217
30,4.000684352494947,0.09023808447895353,,,1.0,25.026376266794298,1.0,22.623049423128123,,,1.0,21.04166232785595
31,4.000657407011775,0.09026926230895013,,,1.0,25.332437720199444,1.0,23.318376022120223,,,1.0,21.365867687014905
32,4.000236503907576,0.090268306954866,,,1.0,23.722908100124656,1.0,23.316139927028242,,,1.0,22.966533891300923
33,4.00027781195431,0.09030080444793037,,,1.0,22.325963249594928,1.0,21.580302757576813,,,1.0,21.03867302998013
34,4.000835151031311,0.09029128807705554,,,1.0,21.856958254043285,1.0,21.538672689949216,,,1.0,21.047392547069904
35,4.0007203912735925,0.0902962102323159,,,1.0,22.11721164351554,1.0,21.481891661832986,,,1.0,20.782519171334588
36,4.000479849715399,0.09029906044058561,,,1.0,23.490435204128882,1.0,23.585111189925286,,,1.0,23.162613571291857
37,4.00028988272946,0.09033948962267968,,,1.0,23.164983641411233,1.0,22.941758304850744,,,1.0,22.104940282416923
38,4.000698590731408,0.09043222344558793,,,1.0,20.864929329512044,1.0,20.435320360586395,,,1.0,19.713827425549933
39,4.000823794487377,0.09035241483663933,,,1.0,24.274050694674713,1.0,23.670591436517245,,,1.0,24.202046195847995
40,4.000892352339331,0.09035452464746306,,,1.0,24.01975655093846,1.0,23.54187483664418,,,1.0,23.541450294862486
41,4.000511448187285,0.09036321482124647,,,1.0,22.72084575320333,1.0,21.665158222476826,,,1.0,20.213319900263002
42,4.000285666177122,0.09038145409631267,,,1.0,24.597303408964954,1.0,23.154244104687937,,,1.0,22.94663165538221
43,4.0009042350735395,0.09037826466850583,,,1.0,21.773997502128854,1.0,21.50399664863452,,,1.0,21.29492957123272
44,4.000824490114365,0.0904055175712039,,,1.0,22.72832992317476,1.0,21.87283537911118,,,1.0,21.016783300237975
45,4.000703292892047,0.09046871621480901,,,1.0,24.480160620582076,1.0,23.36646764522916,,,1.0,23.778362437560965
