,Unnamed: 0,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
0,0,229.2001510934856,5.128860141649074,,,1.0,23.02659916574502,1.0,22.94588748239748,,,1.0,22.06863241039916
1,1,229.20465199601185,5.129527532236484,,,1.0,23.752855688906887,1.0,23.238336934434827,,,1.0,22.877687501958643
2,2,229.2272102190115,5.136658916191154,,,1.0,22.728347302789565,1.0,21.09335741704557,,,1.0,19.69741476510508
3,3,229.21602009140042,5.138810465398771,,,1.0,24.332031274877792,1.0,24.095893705704544,,,1.0,22.952574971901267
4,4,229.21563961257388,5.141698202710491,,,1.0,23.84449429331362,1.0,23.094729296330595,,,1.0,21.97772663130973
5,5,229.2088767626143,5.141861286192622,,,1.0,24.17140745394836,1.0,23.55609922610277,,,1.0,23.99736993271587
6,6,229.2234176713051,5.1456590845843335,,,1.0,21.126765278377704,1.0,20.529828245683237,,,1.0,19.72040205443471
7,7,229.2325291507736,5.144069099316494,,,1.0,22.848328536581917,1.0,22.394707690798104,,,1.0,22.0711821922049
8,8,229.20444256059952,5.144157390145324,,,1.0,22.810061545608814,1.0,22.809248988300208,,,1.0,22.54191294761755
9,9,229.21443988028977,5.1442736919413985,,,1.0,23.940843043515308,1.0,23.410259432331195,,,1.0,22.362087349006067
10,10,229.19805473414416,5.144709535599196,,,1.0,23.910371464460813,1.0,23.26468119134068,,,1.0,22.8345180361362
11,11,229.2312744869655,5.147320836171488,,,1.0,23.75577079337077,1.0,23.025203197051063,,,1.0,22.441262844936706
12,12,229.20691678445223,5.149127571878603,,,1.0,22.942139591528612,1.0,22.129966016106216,,,1.0,21.24013959054838
13,13,229.21471539705698,5.149598067933448,,,1.0,25.494092963301576,1.0,23.274564362231533,,,1.0,23.80637187729875
14,14,229.21185656485986,5.150146368103119,,,1.0,23.60731321320518,1.0,23.554420673160447,,,1.0,23.79102473483169
15,15,229.19539323524978,5.150977419483139,,,1.0,24.30452418981836,1.0,23.516534472708003,,,1.0,21.651599876672343
16,16,229.20822777593852,5.150954023498764,,,1.0,22.059588736488365,1.0,20.57426920656836,,,1.0,19.559211938707627
17,17,229.22054624928936,5.152675866282919,,,1.0,23.859149470957767,1.0,23.41741350897612,,,1.0,23.58607004859496
18,18,229.23587797530783,5.152621380262598,,,1.0,22.685792220559943,1.0,22.57553788933976,,,1.0,22.19222780232645
19,19,229.2124909438684,5.153788698495758,,,1.0,23.768168172183355,1.0,23.723447663117817,,,1.0,22.470071287298417
